Date,BND,BNDX,SPY,VBR,VEA,VOE,VTI,VTIP,VTV,VWO,VWOB
2016-09-06,62.495933532714844,41.198787689208984,186.57264709472656,91.03010559082031,28.281526565551758,75.4306640625,95.80681610107422,36.6443977355957,68.78252410888672,29.112443923950195,49.294559478759766
2016-09-07,62.50333023071289,41.301815032958984,186.55560302734375,91.53398895263672,28.281526565551758,75.75,95.93445587158203,36.68151092529297,68.80584716796875,29.07489013671875,49.44539260864258
2016-09-08,62.266048431396484,41.15460205078125,186.1296844482422,91.38770294189453,28.222034454345703,75.41468048095703,95.68769073486328,36.67409133911133,68.83695983886719,29.014812469482422,49.32472229003906
2016-09-09,61.99174880981445,41.00002670288086,181.67477416992188,88.60016632080078,27.627099990844727,73.30697631835938,93.3052749633789,36.59983825683594,67.25835418701172,28.098472595214844,48.9205436706543
2016-09-12,62.01397705078125,40.93379592895508,184.28125,89.51039123535156,27.8427734375,74.4167251586914,94.60710144042969,36.6369514465332,68.1370849609375,28.33131217956543,48.86021423339844
2016-09-13,61.83600997924805,40.84545135498047,181.63211059570312,87.81185150146484,27.256242752075195,73.17925262451172,93.1270980834961,36.59243392944336,67.00070190429688,27.624359130859375,48.492183685302734
2016-09-14,61.917579650878906,40.89698791503906,181.56399536132812,87.5599136352539,27.241304397583008,72.90778350830078,93.13562774658203,36.607269287109375,66.75023651123047,27.723186492919922,48.431854248046875
2016-09-15,61.9694709777832,40.85281753540039,183.37835693359375,88.478271484375,27.480390548706055,73.65827178955078,94.09325408935547,36.65182113647461,67.38418579101562,28.16407585144043,48.57062530517578
2016-09-16,62.02138137817383,40.89698791503906,182.66946411132812,88.23443603515625,27.144174575805664,73.3708724975586,93.717041015625,36.68151092529297,67.07896423339844,27.974035263061523,48.56460189819336
2016-09-19,61.97688293457031,40.889617919921875,182.70372009277344,88.84395599365234,27.3234920501709,73.65827178955078,93.85384368896484,36.67409133911133,67.19635772705078,28.209692001342773,48.6611213684082
2016-09-20,61.99174880981445,40.95586013793945,182.71231079101562,88.30846405029297,27.44304656982422,73.41184997558594,93.81111145019531,36.66666030883789,67.11026763916016,28.217288970947266,48.58873748779297
2016-09-21,62.1696662902832,41.044212341308594,184.76693725585938,89.68201446533203,27.966045379638672,74.56768798828125,94.88839721679688,36.69635772705078,67.86942291259766,28.901439666748047,49.19805908203125
2016-09-22,62.29572677612305,41.18408203125,185.9313201904297,90.9084243774414,28.24249267578125,75.1697006225586,95.58098602294922,36.75574493408203,68.21377563476562,29.03067398071289,49.336769104003906
2016-09-23,62.28089904785156,41.16196823120117,184.91250610351562,90.13987731933594,27.973520278930664,74.76034545898438,95.03377532958984,36.77803039550781,67.87725830078125,28.650571823120117,49.1497802734375
2016-09-26,62.384674072265625,41.2429313659668,183.414306640625,89.56756591796875,27.72695541381836,74.2225341796875,94.28132629394531,36.80029296875,67.27464294433594,28.300907135009766,49.0170783996582
2016-09-27,62.458831787109375,41.29446029663086,184.55294799804688,89.69017791748047,27.86144256591797,74.4874267578125,94.81998443603516,36.77803039550781,67.66593170166016,28.59736442565918,49.14374923706055
2016-09-28,62.458831787109375,41.29446029663086,185.46897888183594,90.68765258789062,28.10800552368164,75.09745025634766,95.37574768066406,36.83741760253906,68.19029998779297,28.87862777709961,49.22822952270508
2016-09-29,62.46627426147461,41.301815032958984,183.79103088378906,89.68201446533203,27.764318466186523,74.47940063476562,94.44379425048828,36.852272033691406,67.54073333740234,28.399717330932617,49.04722213745117
2016-09-30,62.384674072265625,41.25028610229492,185.1779022216797,90.47506713867188,27.95109748840332,75.10546875,95.18766784667969,36.85968780517578,68.08856201171875,28.604970932006836,49.24626541137695
2016-10-03,62.31857681274414,41.0999870300293,184.73272705078125,90.041748046875,27.898807525634766,74.70413208007812,94.89694213867188,36.829986572265625,67.89291381835938,28.79501724243164,49.27838134765625
2016-10-04,62.11063003540039,41.07789611816406,183.79103088378906,89.47763061523438,27.816619873046875,74.15834045410156,94.46944427490234,36.79287338256836,67.53292083740234,28.50615692138672,49.05435562133789
2016-10-05,62.006561279296875,40.989463806152344,184.60426330566406,90.08261108398438,27.966045379638672,74.6880874633789,94.83708953857422,36.78544998168945,67.95552062988281,28.939441680908203,49.06645584106445
2016-10-06,61.98427200317383,40.98209762573242,184.73272705078125,90.1235122680664,27.816619873046875,74.69613647460938,94.87129211425781,36.79287338256836,68.01811981201172,28.939441680908203,49.108829498291016
2016-10-07,62.036293029785156,40.952632904052734,184.09918212890625,89.3631362915039,27.63729476928711,74.28677368164062,94.5121841430664,36.80772018432617,67.78333282470703,28.84062385559082,48.95140075683594
2016-10-10,61.96944046020508,40.87158203125,185.05804443359375,90.11534881591797,27.749370574951172,74.58374786376953,95.02519989013672,36.80772018432617,68.11985778808594,29.038265228271484,49.163352966308594
2016-10-11,61.872825622558594,40.90105438232422,182.7208709716797,88.78265380859375,27.345909118652344,73.47608947753906,93.7597885131836,36.79287338256836,67.31375122070312,28.498546600341797,48.86663818359375
2016-10-12,61.909969329833984,40.85682678222656,182.96055603027344,89.01976013183594,27.30855369567871,73.69278717041016,93.87095642089844,36.80029296875,67.36070251464844,28.4681453704834,48.98772048950195
2016-10-13,61.98427200317383,40.93788528442383,182.36126708984375,88.47195434570312,27.233844757080078,73.25933837890625,93.5374984741211,36.82257080078125,67.13377380371094,28.293304443359375,48.98168182373047
2016-10-14,61.858001708984375,40.81998825073242,182.4554901123047,88.43926239013672,27.256242752075195,73.17105865478516,93.51182556152344,36.83741760253906,67.15724182128906,28.36931610107422,48.84848403930664
2016-10-17,61.9917106628418,40.84947204589844,181.8219757080078,88.34114837646484,27.21141242980957,73.02655792236328,93.24678039550781,36.881954193115234,66.98503875732422,28.31610679626465,48.830299377441406
2016-10-18,62.07344436645508,40.90105438232422,182.96055603027344,88.84808349609375,27.502803802490234,73.52420806884766,93.79399108886719,36.88938522338867,67.36070251464844,28.81781768798828,48.90299606323242
2016-10-19,62.118011474609375,40.92316436767578,183.44850158691406,89.34679412841797,27.59993553161621,73.90951538085938,94.09325408935547,36.911643981933594,67.52508544921875,28.969852447509766,48.909019470214844
2016-10-20,62.08086395263672,40.94526672363281,183.10609436035156,89.0442886352539,27.59993553161621,73.74894714355469,93.91370391845703,36.881954193115234,67.38418579101562,28.931846618652344,49.03618240356445
2016-10-21,62.13286209106445,40.93052291870117,183.1916961669922,88.9625244140625,27.54016876220703,73.64463806152344,93.87950134277344,36.89680862426758,67.25897979736328,28.939441680908203,49.06040954589844
2016-10-24,62.04373550415039,40.92316436767578,183.9707794189453,89.33860778808594,27.502803802490234,73.87740325927734,94.34973907470703,36.84484100341797,67.48594665527344,29.083873748779297,49.03011703491211
2016-10-25,62.04373550415039,40.93052291870117,183.3543701171875,88.70088958740234,27.480390548706055,73.46802520751953,93.9478988647461,36.83741760253906,67.4468002319336,29.061063766479492,49.07856369018555
2016-10-26,61.932289123535156,40.84947204589844,182.98623657226562,88.39019775390625,27.345909118652344,73.51617431640625,93.66574096679688,36.852272033691406,67.58768463134766,28.84821891784668,48.95744705200195
2016-10-27,61.761390686035156,40.68001174926758,182.4982147216797,87.51539611816406,27.316015243530273,72.93025970458984,93.34940338134766,36.829986572265625,67.51724243164062,28.627777099609375,48.51539611816406
2016-10-28,61.73167037963867,40.69473648071289,181.9589080810547,87.28648376464844,27.301082611083984,72.97040557861328,93.04158020019531,36.852272033691406,67.2824478149414,28.4681453704834,48.55780792236328
2016-10-31,61.79859161376953,40.7315788269043,181.96743774414062,87.83424377441406,27.278661727905273,73.29146575927734,93.10144805908203,36.86709976196289,67.3450698852539,28.69618797302246,48.56993865966797
2016-11-01,61.77845001220703,40.65119934082031,180.64903259277344,86.84496307373047,27.203948974609375,72.80181884765625,92.40887451171875,36.881954193115234,66.9458999633789,28.483348846435547,48.45140075683594
2016-11-02,61.8380126953125,40.75444030761719,179.561767578125,85.93742370605469,27.00221824645996,72.0713882446289,91.76763916015625,36.852272033691406,66.54679870605469,28.15648078918457,48.49394226074219
2016-11-03,61.8007926940918,40.68806457519531,178.7399139404297,85.91291046142578,26.987274169921875,71.9750747680664,91.36576843261719,36.83741760253906,66.35113525390625,28.08806037902832,48.481788635253906
2016-11-04,61.91244125366211,40.72494888305664,178.5430145263672,85.98648071289062,26.763120651245117,71.83861541748047,91.3059310913086,36.852272033691406,66.24939727783203,27.791595458984375,48.54866027832031
2016-11-07,61.830589294433594,40.72494888305664,182.4810791015625,87.87515258789062,27.12923240661621,73.34764099121094,93.3237533569336,36.852272033691406,67.68942260742188,28.73419952392578,48.74922561645508
2016-11-08,61.718936920166016,40.67330551147461,183.30303955078125,88.03047180175781,27.196475982666016,73.62055206298828,93.72560119628906,36.81514358520508,67.91635131835938,28.871030807495117,48.84038543701172
2016-11-09,61.1086311340332,40.42251205444336,185.2464141845703,90.22164154052734,27.151647567749023,74.4472885131836,94.88839721679688,36.78544998168945,69.07466125488281,28.110862731933594,48.25081253051758
2016-11-10,60.848052978515625,40.26026153564453,185.7086639404297,91.18638610839844,27.061986923217773,74.9850845336914,95.22184753417969,36.79287338256836,69.77902221679688,27.29749298095703,46.524776458740234
2016-11-11,60.736446380615234,40.201202392578125,185.28060913085938,92.5599365234375,26.845314025878906,75.11351013183594,95.25607299804688,36.7631721496582,69.64599609375,26.795787811279297,46.74357986450195
2016-11-14,60.50570297241211,40.097938537597656,185.42617797851562,94.24417877197266,26.725765228271484,76.15697479248047,95.50399780273438,36.629547119140625,70.13119506835938,26.666549682617188,46.46398162841797
2016-11-15,60.58753967285156,40.22334671020508,186.87306213378906,94.68568420410156,26.890148162841797,76.7107925415039,96.24785614013672,36.6443977355957,70.63994598388672,27.168258666992188,47.01707458496094
2016-11-16,60.71410369873047,40.17911148071289,186.52200317382812,94.55485534667969,26.643579483032227,76.27735137939453,96.11105346679688,36.65924072265625,70.25642395019531,26.947813034057617,46.97452926635742
2016-11-17,60.46844482421875,40.164344787597656,187.48086547851562,95.02092742919922,26.82289695739746,76.7750244140625,96.59838104248047,36.65924072265625,70.53033447265625,26.955415725708008,46.93197250366211
2016-11-18,60.31963348388672,40.11268997192383,187.06138610839844,95.15990447998047,26.58380699157715,76.7107925415039,96.4188461303711,36.62211608886719,70.4286117553711,26.89459991455078,46.68281173706055
2016-11-21,60.31218719482422,40.07581329345703,188.47398376464844,95.8221664428711,26.815431594848633,77.30477142333984,97.14562225341797,36.6369514465332,70.88255310058594,27.160659790039062,46.871212005615234
2016-11-22,60.36423873901367,40.230712890625,188.84207153320312,96.72151184082031,26.897607803344727,77.657958984375,97.42778015136719,36.66666030883789,71.08602905273438,27.457124710083008,46.99884796142578
2016-11-23,60.207984924316406,40.1422119140625,188.94483947753906,97.21206665039062,26.800479888916016,77.87468719482422,97.56458282470703,36.59243392944336,71.17211151123047,27.19106674194336,46.81040573120117
2016-11-25,60.23025131225586,40.15693664550781,189.64682006835938,97.5390853881836,26.852779388427734,78.1475830078125,97.94078063964844,36.62211608886719,71.53992462158203,27.335494995117188,46.761802673339844
